2026-01-11 00:02:43 | INFO     | ArbitrageBot.None              | ✅ Configuration loaded from config/bot_config.json
2026-01-11 00:02:43 | INFO     | ArbitrageBot.None              | 🔄 Initializing system components...
2026-01-11 00:02:43 | INFO     | ArbitrageBot.None              | ✅ Unified DataFeed initialized
2026-01-11 00:02:43 | ERROR    | ArbitrageBot.None              | ❌ Fatal error in main loop: 'list' object has no attribute 'get'
2026-01-11 00:02:43 | INFO     | ArbitrageBot.None              | 🛑 Initiating graceful system shutdown...
2026-01-11 00:02:43 | INFO     | ArbitrageBot.None              | 🛑 Stopping DataFeed
2026-01-11 00:02:43 | INFO     | ArbitrageBot.None              | ✅ DataFeed stopped
2026-01-11 00:02:43 | INFO     | ArbitrageBot.None              | ✅ Data feed stopped
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              | ✅ Configuration loaded from config/bot_config.json
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              | 🔄 Initializing system components...
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              | ✅ Unified DataFeed initialized
2026-01-11 01:06:59 | ERROR    | ArbitrageBot.None              | ❌ Failed to initialize kraken: ExchangeWrapperFactory.create_wrapper() takes 2 positional arguments but 3 were given
2026-01-11 01:06:59 | ERROR    | ArbitrageBot.None              | ❌ Failed to initialize binance: ExchangeWrapperFactory.create_wrapper() takes 2 positional arguments but 3 were given
2026-01-11 01:06:59 | ERROR    | ArbitrageBot.None              | ❌ Failed to initialize coinbase: ExchangeWrapperFactory.create_wrapper() takes 2 positional arguments but 3 were given
2026-01-11 01:06:59 | ERROR    | ArbitrageBot.None              | ❌ Fatal error in main loop: 'int' object has no attribute 'get'
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              | 🛑 Initiating graceful system shutdown...
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              | 🛑 Stopping DataFeed
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              | ✅ DataFeed stopped
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              | ✅ Data feed stopped
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              | ======================================================================
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              | 📊 SESSION SUMMARY:
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              |    Duration: 0.00 hours
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              |    Total Cycles: 0
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              |    Total Trades: 0
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              |    Total Profit: $0.00
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              |    Hourly Rate: $0.00/hour
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              | ======================================================================
2026-01-11 01:06:59 | INFO     | ArbitrageBot.None              | 👋 System shutdown complete. Goodbye!
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              | ✅ Configuration loaded from config/bot_config.json
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              | 🔄 Initializing system components...
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              | ✅ Unified DataFeed initialized
2026-01-11 01:11:54 | ERROR    | ArbitrageBot.None              | ❌ Failed to initialize kraken: ExchangeWrapperFactory.create_wrapper() takes 2 positional arguments but 3 were given
2026-01-11 01:11:54 | ERROR    | ArbitrageBot.None              | ❌ Failed to initialize binance: ExchangeWrapperFactory.create_wrapper() takes 2 positional arguments but 3 were given
2026-01-11 01:11:54 | ERROR    | ArbitrageBot.None              | ❌ Failed to initialize coinbase: ExchangeWrapperFactory.create_wrapper() takes 2 positional arguments but 3 were given
2026-01-11 01:11:54 | ERROR    | ArbitrageBot.None              | ❌ No exchanges initialized. Check configuration.
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              | 🛑 Initiating graceful system shutdown...
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              | 🛑 Stopping DataFeed
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              | ✅ DataFeed stopped
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              | ✅ Data feed stopped
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              | ======================================================================
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              | 📊 SESSION SUMMARY:
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              |    Duration: 0.00 hours
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              |    Total Cycles: 0
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              |    Total Trades: 0
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              |    Total Profit: $0.00
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              |    Hourly Rate: $0.00/hour
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              | ======================================================================
2026-01-11 01:11:54 | INFO     | ArbitrageBot.None              | 👋 System shutdown complete. Goodbye!
